title;subTitle;author;fullText;img;headLine;newsPaper;section;link
Maria Cristina Fernandes: Contrastes das transições antecipam Lula III;;;Na tarde do dia 16 de julho de 2002, Stanley Fischer, à época no Citigroup, recebeu o então deputado José Dirceu. Corria a quarta campanha presidencial petista, que acabaria por levar Luiz Inácio Lula da Silva, pela primeira vez, ao Palácio do Planalto.;https://s2.glbimg.com/EgtxthpPsPpWtzxJex66ZL2LzmA=/1200x/smart/filters:cover():strip_icc()/i.s3.glbimg.com/v1/AUTH_63b422c2caee4269b8b34177e8876b93/internal_photos/bs/2022/k/q/RqTERZS8Kp4R02GA1e8Q/foto09cul-501-gps-d6.jpg;False;4;1;https://valor.globo.com/eu-e/coluna/maria-cristina-fernandes-contrastes-das-transicoes-antecipam-lula-iii.ghtml
Lula samba no golpismo;;;"Dois fatos definem a passagem do presidente eleito por Brasília. O anúncio de que a tramitação da PEC da Transição se iniciará pelo Senado e o convite para que o Supremo Tribunal Federal participe da discussão da questão ambiental e do status da posse e do porte de armas.
O anúncio revela que, por mais amistoso que tenha sido o encontro entre Luiz Inácio Lula da Silva e o presidente da Câmara, Arthur Lira (PP-AL), o governo eleito confia mais no senador Rodrigo Pacheco (PSD-MG), presidente da Casa que, por iniciar a PEC, terá a última palavra.
O convite ao Supremo revela a expectativa de Lula de que a Corte equilibre o perfil marcadamente bolsonarista do Congresso para a reversão de marcos legais que tanto fizeram avançar o desmatamento quanto o armamento civil.
Ao se encontrar com os presidentes dos Poderes, Lula ainda evidenciou os termos da parceria estabelecida com seu vice. Enquanto Lula se movimenta como chefe de Estado, Geraldo Alckmin comanda o governo eleito.
Por trás do sorriso permanente, do ritual da nominata nas reuniões mais cotidianas e da disposição de falar tudo sem dizer nada, o vice eleito vai aparando arestas, compondo divergências e buscando soluções para conflitos infindáveis. Testa possibilidades e mata no peito as frustrações. Até Bolsonaro encontrou.
Tomou o lugar de Lula nas redes sociais do governo eleito. É Alckmin quem aparece de óculos escuros, falando de dentro do carro, cortando o bolo do seu aniversário e amaciando os contratempos da transição.
Seu desgaste preserva Lula para as missões presidenciais, como aquela para a qual parte neste fim de semana na COP-27. É sob a aura de liderança mundial da agenda climática que espera levar a cabo a tarefa de nomeação efetiva dos ministros. Aí já não terá Alckmin como escudo.
Se a equipe de transição revela a utopia possível do convívio entre divergentes, como Persio Arida e Nelson Barbosa, Simone Tebet e Teresa Campello, Priscilla Cruz e Henrique Paim, Guilherme Boulos e Floriano Pesaro, Germano Rigotto e Bernard Appy estão a demonstrar, as movimentações na Câmara exibem o mesmo Centrão velho de guerra.
Tome-se, por exemplo, a oposição anunciada pelo presidente do PL. Foi o único fato a rimar com o relatório do Ministério da Defesa, que deu alento aos golpistas instalados no Palácio do Planalto e nas ruas e estradas do país. A disposição, porém, é temporária. Terá que durar, pelo menos, até o dia 2 de fevereiro, quando os parlamentares tomam posse. É a bancada da posse que define o valor dos fundos eleitoral e partidário. Com a maior bancada da Câmara, o PL terá acesso à maior fatia do fundo.
O discurso de que o partido enfrentará os ideais “comunistas” e os “questionamentos” à Justiça Eleitoral tem esta data de validade. Mais da metade dos 99 deputados eleitos ameaçava sair se Costa Neto não endossasse o discurso dos bárbaros que tomam as ruas sem doçura alguma.
Foi assim que Valdemar da Costa Neto se explicou quando cobrado pelo tom de sua fala. O presidente Jair Bolsonaro alavancou o PL muito mais do que o fizera com sua antiga legenda em 2018. Naquele ano, o PSL elegeu 52 deputados. Na posse, já tinha perdido um. O DEM empossou 29.
Com a fusão, obtiveram 80 deputados, o que deu à União Brasil R$ 782 milhões de fundo eleitoral, 55% a mais do que a legenda que ficou em segundo lugar (PT). Depois de 2 de fevereiro, o PL poderá calibrar o discurso e, principalmente, sua atuação. E, com um pé em cada canoa, tentar se manter ao alcance do governo eleito sem perder de vista os 58 milhões de votos de Bolsonaro.
Ao constatar que o bolsonarismo é maior que Bolsonaro, Valdemar Costa Neto disse que, por esta razão, não se podia “atravessar o samba”. A expressão, destinada aos radicais do bolsonarismo, é usada pelos sambistas para definir quem destoa. Isso quando está em pauta uma melodia e não a zoada dos seguidores do presidente.
Na cadência da transição, foi o presidente do PL quem, até aqui, mais se atravessou no caminho do governo eleito. Ao apoiar a reeleição do deputado Arthur Lira (PP-AL) para a Presidência da Câmara e pedir seu apoio para seu partido no Senado, deixou claro que o governo eleito, se quiser paz no Congresso, vai ter que negociar com ele.
Lira recebeu o apoio de Valdemar e não tem concorrente à vista no PT, no MDB ou no PSD, mas acha pouco. Quer o apoio explícito de Lula. Teme as reviravoltas que a declaração do presidente do PL pode causar nos partidos que o apoiariam na Câmara em troca de seu apoio no Senado, como o PSD do senador Rodrigo Pacheco.
Lira não despertou a disposição de Lula em se meter na disputa. Não bastasse o trauma com o qual a eleição de Eduardo Cunha marcou o PT para o resto de sua existência, o governo eleito tem como prioridade viabilizar a PEC da Transição, que permitiria fazer caber o governo no Orçamento.
A dependência que o governo tem desta PEC facilita a vida de Lira que hoje é quem tem voto para aprová-la, mas não garante que ele seja o candidato único à Mesa. O presidente da Casa sabe que correligionários como o deputado Aguinaldo Ribeiro (PB) são mantidos como reserva de contingência.
Ministro das Cidades no governo Dilma Rousseff, Ribeiro garantiria o apoio do PP sem os poderes plenipotenciários que hoje Lira exibe. O presidente da Câmara encontrou-se nesta quarta com seu antecessor, o deputado federal Rodrigo Maia (PSDB-RJ), de quem Ribeiro sempre foi aliado, chegando a ser cogitado para sucedê-lo.
As inseguranças não param por aí. Lira não tem garantia de que o STF lhe dê cobertura na decisão sobre o orçamento secreto. A Corte foi desafiada na determinação de tornar transparente a destinação das verbas e fez de conta de que a decisão estava sendo cumprida para manter, pelo menos com o Congresso, a institucionalidade destruída pelo Executivo.
Agora já não há motivos para manter as aparências. O STF não pode acabar com o orçamento secreto, mas tem todas prerrogativas constitucionais para impor sua publicidade. Esta decisão tem potencial para erodir a base de Lira na Câmara porque mostraria a desigualdade do tratamento a aliados.
Pesa contra o desembaraço do Supremo no tema as hesitações da ministra Rosa Weber. Pesa a favor, a sintonia demonstrada com o presidente eleito numa Brasília ocupada por caminhoneiros a contestar o resultado das urnas com o respaldo de um relatório golpista dos militares.
Maria Cristina Fernandes é jornalista do Valor. Escreve às quintas-feirasE-mail: mcristina.fernandes@valor.com.br";https://s3.glbimg.com/v1/AUTH_63b422c2caee4269b8b34177e8876b93/public/fb_marca.png;False;4;1;https://valor.globo.com/politica/coluna/lula-samba-no-golpismo.ghtml
Maria Cristina Fernandes: O futuro da direita sem a carona bolsonarista;;;O presidente da Câmara, Arthur Lira, foi o primeiro do campo governista a reconhecer o resultado eleitoral em telefonema ao presidente eleito, Luiz Inácio Lula da Silva. Seu correligionário, o ministro da Casa Civil, Ciro Nogueira, disse não se opor se for o desejo de seu partido se aliar a Lula. O presidente do União Brasil, Luciano Bivar, que quatro anos atrás abrigou Jair Bolsonaro em seu finado PSL, diz que seu partido tem “uma dívida com a esquerda”. O Republicanos busca tanto uma brecha que o presidente eleito recebeu até “perdão” do pastor honorário da agremiação, Edir Macedo. Restou o PL, que lançou Bolsonaro à Presidência em 2026 e anunciou-se na oposição sem reconhecer o resultado das urnas. Ainda está por se confirmar se permanecerá com este discur;https://s2.glbimg.com/Y6VsQMz5N83VUaKdyzyaNN4YnlQ=/1200x/smart/filters:cover():strip_icc()/i.s3.glbimg.com/v1/AUTH_63b422c2caee4269b8b34177e8876b93/internal_photos/bs/2022/x/A/fM8cNGSvCVNuPOFgqUQQ/foto11cul-601-gps-d6.jpg;False;4;1;https://valor.globo.com/eu-e/coluna/maria-cristina-fernandes-o-futuro-da-direita-sem-a-carona-bolsonarista.ghtml
A zoada da transição;;;O governo que está por ser empossado resiste a definir o valor da licença para gastar que vai pedir ao Congresso, o compromisso fiscal que assumirá em troca e os ministros da tropa que vai entrar em campo. Não são as manifestações antidemocráticas no país que represam estas definições, mas a zoada, amplificada esta semana pela petição golpista do maior partido do Congresso em 2023, resume a armadilha em curso. Se o presidente eleito precisou ampliar para ganhar a eleição não poderá ir no sentido contrário para enfrentar a chantagem armada.;https://s3.glbimg.com/v1/AUTH_63b422c2caee4269b8b34177e8876b93/public/fb_marca.png;False;4;1;https://valor.globo.com/politica/coluna/a-zoada-da-transicao.ghtml
Uma briga de cada vez;;;Ao abrir as nomeações para o ministério por Fernando Haddad e José Múcio Monteiro, provavelmente na segunda-feira, 5, o presidente eleito parece sinalizar que precisa de paz nos quartéis para fazer o que pretende na economia. Diferentes em tudo, dos 25 anos que os separam às trajetórias na política, as indicações sinalizam, além da confiança de Lula, sua convicção de que não dá para comprar todas as brigas ao mesmo tempo.;https://s3.glbimg.com/v1/AUTH_63b422c2caee4269b8b34177e8876b93/public/fb_marca.png;False;4;1;https://valor.globo.com/politica/coluna/uma-briga-de-cada-vez.ghtml
O sequestro em curso;;;O início da votação do orçamento secreto no Supremo Tribunal Federal escancarou o jogo em curso entre os Poderes. A sessão começou atrasada e o intervalo durou o dobro do usual. Ao longo da tarde, circulou, por iniciativa de ministros partidários da acomodação, textos que advogaram a tese de que a Corte não deveria interferir num tema de competência do Legislativo. No limite, pregam a transparência que, de resto, já foi determinada pela Corte e desrespeitada pelo Congresso.;https://s3.glbimg.com/v1/AUTH_63b422c2caee4269b8b34177e8876b93/public/fb_marca.png;False;4;1;https://valor.globo.com/politica/coluna/o-sequestro-em-curso.ghtml
 O bolsonarismo desistiu do eleitor;;;"A escalada golpista da reta final da campanha mostra que o presidente parece já ter desistido do eleitor e não quer aguardar para conferir se o inverso é verdadeiro.
Os tiros de Roberto Jefferson atravessaram a Mantiqueira e, como previsto, acertaram o eleitor paulista. Se este eleitor, em defesa da polícia, estava disposto até mesmo a votar em quem quer tirar as câmeras dos uniformes, não aceitaria aliados dessa gente que atira em policial. Luiz Inácio Lula da Silva e Fernando Haddad crescem em São Paulo, a reboque de Jefferson.
Ainda está por ser explicado por que seis agentes, sem colete à prova de bala ou equipamento adequado, se dirigiram à casa de um apenado em regime domiciliar que acumulava armas e munições.
Mas o fato é que, depois de tanto explorar os votos de presidiários em seu adversário, eis que o presidente Jair Bolsonaro chegou à reta final da eleição atingido por um deles.
O fracasso da armação levou a esta cartada final do “radiolão”. A engenharia das inserções pode até demonstrar que falta fiscalização na divulgação, principalmente nas rádios. É uma lacuna que prejudica a todos e não apenas ao reclamante a quem, mais do que propaganda, falta credibilidade.
O tiros em Levy Gasparian (RJ) já foram suficientes para mostrar que a reprise tupiniquim do Capitólio é uma ópera bufa do bolsonarismo, mas a campanha governista resolveu dobrar a aposta com esta manifestação convocada para o sábado em Brasília. Como não conseguiram melar a eleição com as urnas eletrônicas, apelam agora para as inserções.
Os fatos derradeiros da campanha estão a mostrar a dramaticidade da renovação do governo em curso. O que parece faltar em votos para o bolsonarismo sobra em poderes constituídos que se levantam contra seus arroubos.
A frente ampla chegou ao Vaticano. Além do ódio, da intolerância e da violência, o papa ainda acrescentou Nossa Senhora de Aparecida para pedir passagem. Mais explícito, impossível.
É o poder que se move na reta final. E nunca está sozinho. O bolsonarismo gira a manivela do voto antissistema com seus chiliques, mas este 2 turno está a mostrar que tudo tem um limite. A reação dos poderes oferece um eixo contra o rumo desgovernado que tomou a campanha de Jair Bolsonaro.
A reação da Igreja Católica, que tomou corpo depois do tumulto em Aparecida, dá à maioria religiosa um norte para se contrapor ao apelo obscurantista do presidente que grassa, majoritariamente, entre evangélicos.
O Judiciário mostrou unidade seja no respaldo do Supremo Tribunal Federal aos superpoderes do Tribunal Superior Eleitoral seja na garantia ao passe livre nas capitais.
Não foi a exoneração do servidor do TSE que mostrou os excessos de Alexandre de Moraes. Todos já o conhecem, mas é como se o Judiciário depois de contribuir para corroer a democracia pelo lavajatismo, não visse outra forma de remediá-lo senão investindo outro juiz de plenos poderes. Ante o monstro que se transformou o bolsonarismo, parece não haver saída.
Foi Bolsonaro quem deu liga a esta unidade ao esticar a corda nas ameaças contra o STF. Já o tinha feito antes, mas sua reiteração na campanha foi sinal de que perdeu o tino. Se o arroubo foi tolerado até aqui é porque seu mandato tem fim. A perspectiva de sua renovação deu ruim.
Um togado do Supremo chegou a dizer esta semana a um ministro do governo, engajado na reeleição presidencial, que estava na hora de ele buscar um advogado criminal.
Até o ex-presidente José Sarney, que só se pronuncia em anos bissextos, resolveu falar. Reverenciou o Supremo como ponto de equilíbrio, seja em relação à “autocracia” do atual governo, seja em relação aos “interesses excusos” do Legislativo na gestão do orçamento secreto. A declaração de voto no ex-presidente Lula seguiu como decorrência.
O cerco é tamanho que os donos dos feudos do orçamento secreto partiram para a guerrilha antes mesmo da batalha final.
A tomada de posição de Sarney acabou por emudecer outro ex-presidente, Michel Temer, que voltara a atuar na intermediação entre Bolsonaro e o Supremo. Um sinal disso foi a decisão do prefeito de São Paulo, Ricardo Nunes, aliado de Temer, de se antecipar à justiça e decretar o passe livre contra o qual havia se insurgido no primeiro turno.
Tratou-se de mais uma cartada do Judiciário a movimentar o tabuleiro. Ao respaldar a catraca livre, levou todas as capitais a adotar a medida que, no primeiro turno, enfrentou forte resistência do bolsonarismo.
Junte-se aí o Tribunal de Contas da União que, depois do rigor com o qual tratou a gestão da Caixa Econômica Federal no impeachment de Dilma, corria o risco de deixar passar batido o uso eleitoreiro do banco público. Ao mandar suspender o consignado do Auxílio Brasil, ganhou tempo.
Os poderes não se movem apenas por obra e graça de suas cúpulas mas pela força da burocracia. O que não foi o vazamento de estudos do Ministério da Economia sobre a desindexação do Orçamento, notadamente do salário mínimo, senão a reação de técnicos à perspectiva de mais quatro anos do chefe de Paulo Guedes?
A reação da burocracia econômica é posterior àquela capitaneada por nichos importantes do empresariado e da finança nacional.
De todos os sistemas de poder do país, aquele que comanda o PIB industrial e financeiro foi um dos primeiros a reagir. Uma demonstração de que o ex-presidente Luiz Inácio Lula da Silva se apercebeu do peso desta precedência foi o espaço aberto para Simone Tebet e Marina Silva na sua campanha, arrematado pela reiteração de que seu governo não será do PT.
Até a ciência mundial, representada por sua principal publicação, a “Nature”, publicou editorial em que diz que “só há uma escolha na eleição do Brasil - para o país e para o mundo”.
Ainda restam o debate e três dias até a eleição, o que é uma eternidade quando Bolsonaro está em campo. Há 8,5 milhões de votos a serem consolidados nesta reta final. Ao contrário de 2018, quando ficaram a esperar no que ia dar, os poderes tomaram partido antes que sumam do mapa. Oferecem uma carona ao eleitor. Resta aguardar se sua excelência vai aceitar.
Maria Cristina Fernandes é jornalista do Valor. Escreve às quintas-feirasE-mail: mcristina.fernandes@valor.com.br";https://s3.glbimg.com/v1/AUTH_63b422c2caee4269b8b34177e8876b93/public/fb_marca.png;False;4;1;https://valor.globo.com/politica/eleicoes-2022/coluna/o-bolsonarismo-desistiu-do-eleitor.ghtml
Maria Cristina Fernandes: O poder da farda na ascensão do bolsonarismo;;;Ao dar posse, em 3 de janeiro de 2019, ao seu primeiro ministro da Defesa, general Fernando Azevedo e Silva, o presidente Jair Bolsonaro dirigiu-se ao comandante do Exército sentado numa cadeira de rodas à sua frente: “General Villas Boas, o que já conversamos morrerá entre nós. O senhor é um dos responsáveis por eu estar aqui”.;https://s2.glbimg.com/f6wkv7UJfOZnmuY0bBDoRlKWUJ0=/1200x/smart/filters:cover():strip_icc()/i.s3.glbimg.com/v1/AUTH_63b422c2caee4269b8b34177e8876b93/internal_photos/bs/2022/A/J/AjNRmTRqyoaN6Juv9xVA/foto28cul-501-gps-d6.jpg;False;4;1;https://valor.globo.com/eu-e/coluna/maria-cristina-fernandes-o-poder-da-farda-na-ascensao-do-bolsonarismo.ghtml
O café frio de Bolsonaro;;;"A relação das instituições com o presidente Jair Bolsonaro já foi definida um dia pelo ministro Gilmar Mendes como um jogo de xadrez com um pombo, que voa, derruba as peças, faz caca no tabuleiro e apronta confusão. Durante encontro no Supremo Tribunal Federal, o pombo posou de estadista para se manter no jogo depois de janeiro. A nota do STF, como sempre acontece quando, além da Constituição, a Corte se arvora a interpretar o presidente da República, é política. Se atesta um reconhecimento do resultado eleitoral que não houve, é menos pela certeza de que ele vai se aquietar e mais para mantê-lo à mão na partida que está para começar.
Bolsonaro não apenas se manterá encrencado no inquérito das Fake News, de relatoria do ministro Alexandre de Moraes, como, ao chegar à planície, se deparará com um juiz de primeira instância a cada esquina. Três anos e sete meses depois do tuíte do general Villa Boas, que empurrou o STF a negar o “habeas corpus” a Luiz Inácio Lula da Silva, a Corte faz o antituíte com a publicação, na rede social, da nota em que passa a mão na cabeça do presidente arruaceiro. Mais do que negociar anistia, indulto ou graça, para os quais só será elegível se condenado, Bolsonaro bateu às portas do STF numa tentativa de deixá-las abertas para os HCs de que precisará. Ele os terá?
A baderna é só mais um dos crimes de sua ficha corrida. Bolsonaro dança na boca do vulcão com a declaração em que tanto pediu o desbloqueio das pistas quanto estimulou sua ocupação. A notícia de que já há risco de desabastecimento de diesel demonstra que foi mais bem sucedido no segundo intento. Ainda sem reconhecer a derrota, voltou a fazer um apelo mais veemente ontem à noite pela desocupação das estradas. Continuará a dançar a mesma música ao deixar a Presidência. Sabe que sua prisão o tornaria mártir e manteria a turba mobilizada. Para que o centro e a direita democráticas recuperem os votos que o bolsonarismo lhes tirou, o apelo de que o atual presidente é porta-voz tem que ser sufocado aos poucos, na mesma velocidade com a qual ele asfixiou a democracia ao longo de seu mandato. A carta na manga que o Judiciário terá, ao fim desta guerra, é sua inelegibilidade.
De imediato, a maior ameaça que paira sobre Bolsonaro é o café que esfria no bule seu. Comércio varejista e transportadoras, setores bolsonaristas por excelência, amargam perdas. Evangélicos, vide Silas Malafaia, pedem que as pessoas voltem para casa. Se os 58 milhões de votos blindam Bolsonaro contra uma reação mais imediata do Judiciário, a incitação à baderna pode vir a desidratar seu eleitorado mais rapidamente do que deseja.
Quem elegeu Bolsonaro não foram os neofascistas que tomaram as ruas neste Finados, mas o brasileiro comum que assiste estarrecido a um protesto contra o resultado eleitoral que prejudica o abastecimento de oxigênio nos hospitais. É a tragédia que se repete como tragédia. Só a percepção de que Bolsonaro é vítima de uma injustiça é capaz de reverter esta desidratação. Daí a cautela.
O desembarque não se limita ao eleitorado. A pequena diferença de votos que consagrou a vitória de Lula é inversamente proporcional à força com a qual foi investido. Vai dos 38 minutos que separaram o reconhecimento da vitória e os cumprimentos do presidente americano Joe Biden até o tapete vermelho que lhe é estendido por toda parte. Há, por exemplo, mais de 30 vagas de desembargadores a serem preenchidas nos tribunais regionais federais. Dependem de listas a serem enviadas para o Palácio do Planalto. E não o serão até 31 de dezembro porque os tribunais preferem esperar o novo presidente. Ao oferecerem a Lula a oportunidade de nomear esses novos desembargadores, disponibilizam também uma barreira futura contra Bolsonaro na segunda instância.
O mesmo acontece com as indicações que repousam no Senado para os tribunais superiores e agências reguladoras ou até com a vaga que a Câmara tem o direito de indicar para o Tribunal de Contas da União. Tudo agora passa não exatamente por uma troca de gentilezas com o presidente eleito mas pela expectativas geradas pela troca de poder. O que aconteceria, por exemplo, se o Supremo resolvesse descruzar os braços e declarasse a inconstitucionalidade da PEC Kamikaze, aquela que liberou recursos para o pagamento das maiores benesses eleitorais (Auxílio Brasil e os vales gás, caminhoneiro e taxista)? A decisão não devolveria os recursos para os cofres públicos mas abriria caminho para os órgãos de controle correrem atrás do CPF de quem os autorizou. É improvável que isso aconteça, mas dá uma ideia do cardápio de serviços que as instituições podem prestar como um sinal de “boa vontade” se o governante que está para assumir encontrar dificuldades na transição.
Não menos importante é a convergência das instituições para este que já se vislumbra como eixo do novo governo: liderar a agenda mundial de combate ao aquecimento global para atrair investimentos e enfrentar retrocessos internos do desmatamento e garimpo ilegal. E, de quebra, apertar o garrote do bolsonarismo. Lula sabe que há uma avenida a ser ocupada no cenário internacional, como o mostraram os telefonemas de Joe Biden e Emmanuel Macron. Os governadores do consórcio Amazônia Legal correram para convidá-lo a participar da 27ª Conferência do Clima, no Egito.
E há ainda aqueles que se anteciparam no tema, como o TCU. Na próxima semana, o presidente interino do tribunal, Bruno Dantas, assumirá a Organização Internacional das Instituições Superiores de Controle, composta por 196 países, com o objetivo de liderar uma auditoria global sobre as metas assumidas por cada país nas COPs.
Nenhum gesto de boa vontade é mais importante para Lula, porém, do que a perspectiva de o Congresso acolher uma proposta de emenda constitucional com um crédito extraordinário de até R$ 200 bilhões capaz de abarcar as promessas de seu discurso eleitoral. Para ser capaz de arrancar esta dívida, o governo eleito deverá demonstrar algum compromisso com um novo teto de gastos que atrele a elevação da despesa social a um percentual do crescimento do PIB, por exemplo. Esta é a agenda dos primeiros enviados da transição à capital federal hoje.
Se o antibolsonarismo impulsionou a vitória de Lula no domingo também empurra o vento a favor do novo governo. A perspectiva de devolver a política ao seu curso não vai durar para sempre, mas, por enquanto, esquenta o café de Lula enquanto esfria - e azeda - o de Bolsonaro.
Maria Cristina Fernandes é jornalista do Valor. Escreve às quintas-feirasE-mail: mcristina.fernandes@valor.com.br";https://s3.glbimg.com/v1/AUTH_63b422c2caee4269b8b34177e8876b93/public/fb_marca.png;False;4;1;https://valor.globo.com/politica/coluna/o-cafe-frio-de-bolsonaro.ghtml
Guia de Fundos do Valor;Análise completa de mais de mil carteiras com histórico de pelo menos três anos, agrupados em 16 categorias que ajudam a decidir como diversificar as aplicações;;"GUIA DE FUNDOS DO VALOR
Onde encontrar
Lista de fundos selecionados
Veja abaixo a relação de fundos em cada categoria e compare o desempenho com os principais indicadores de mercado
FUNDOS COM RENDA FIXA
FUNDOS COM RENDA VARIÁVEL
FUNDOS COM ALOCAÇÃO NO EXTERIOR
FUNDOS QUE APLICAM EM OUTROS FUNDOS
Onde encontrar
Veja os fundos de investimento distribuídos pelas principais instituições, ordene as tabelas e avalie o desempenho individual de cada carteira
NAS PLATAFORMAS
Pesquise e analise as carteiras comercializadas pelos principais distribuidores e confira os Fundos distribuídos nas Plataformas
NOS BANCOS
Selecione e compare as alternativas oferecidas pelas  grandes instituições financeiras do país consultando os Fundos distribuídos pelos Bancos
Elaboração: Marcelo d´Agosto, a partir de informações fornecidas pela Morningstar - Morningstar Direct. Observação: A performance passada dos fundos não garante sua performance futura
O economista Marcelo d´Agosto preparou estas tabelas com base em informações extraídas do banco de dados da Morningstar Direct. Portanto, é da Morningstar a responsabilidade sobre as informações que serviram de base para as tabelas. A utilização das tabelas para qualquer fim constitui risco exclusivo do usuário. A Morningstar e o jornal Valor Econômico não se responsabilizam pela decisão de investimento tomada por qualquer pessoa com base nessas informações ou por alterações no desempenho dos fundos. O desempenho passado dos fundos não garante o seu desempenho futuro. Por isso, o investidor deve contatar o gestor de cada fundo para obter mais informações a respeito de cada produto antes de tomar sua decisão de investimento";https://infovalorbucket.s3.amazonaws.com/pagina/thumbnail/guia-de-fundos/thumbnail-guia-de-fundos.jpg;False;4;1;https://infograficos.valor.globo.com/guia-de-fundos/
